qpos_bits drc_bytes    ratio    bpp   chamfer_m
--------- ---------    -----    ---   ---------
        8     55198 0.009771  0.959  0.00321396
        9    135545 0.023994  2.355  0.00179062
       10    275408 0.048753  4.786 0.000981597
       11    442014 0.078246  7.681 0.000499136
       12    612664 0.108455 10.646 0.000250075
       13    784200 0.138821 13.626 0.000125284
       14    956270 0.169281 16.616 6.26841E-05
       15   1128719 0.199808 19.613 3.13506E-05
       16   1301269 0.230354 22.611 1.56755E-05
